Bike ID,Model,Color,Current Location,Renter Name,Renter Phone,Rented Date,Expected Return,Returned Date,Status,Notes
Honda Click 150 7295,Honda Click 150,,,Kristizen Jr,823036082,15/09/2026,25/09/2026,15/09/2026,Available,
Honda Click 150 5852,Honda Click 150,,,,,12/09/2026,,11/09/2026,Available,
Honda Click 125 7304,Honda Click 125,,,Kyaw,652077311,15/09/2026,25/09/2026,15/09/2026,Available,
Honda Click 125 5880,Honda Click 125,,,,,11/09/2026,,11/09/2026,Available,
Honda Click 125 5636,Honda Click 125,,,,,11/09/2026,,11/09/2026,Available,
Honda Click 125 3475,Honda Click 125,,,,,,,,Available,
Honda Click 125 3476,Honda Click 125,,,,,,,,Available,
Honda Click 125 927,Honda Click 125,,,,,,,,Available,
Honda Click 125 930,Honda Click 125,,,,,,,,Available,
Honda Click 125 937,Honda Click 125,,,,,15/09/2026,,15/09/2026,Available,
Honda Click 125 950,Honda Click 125,,,,,,,,Available,
Honda Click 125 928,Honda Click 125,,,,,,,,Available,
Honda Click 125 955,Honda Click 125,,,,,,,,Available,
Honda Click 125 938,Honda Click 125,,,,,,,,Available,
Honda Click 125 936,Honda Click 125,,,,,,,,Available,
Honda Click 125 3990,Honda Click 125,,,,,15/09/2026,,15/09/2026,Available,
Honda Click 125 3987,Honda Click 125,,,,,,,,Available,
Honda Click 125 3985,Honda Click 125,,,,,,,,Available,
Honda Click 125 3986,Honda Click 125,,,,,,,,Available,
Honda Click 125 3993,Honda Click 125,,,,,,,,Available,
Honda Click 125 3984,Honda Click 125,,,,,,,,Available,
Honda Click 125 3981,Honda Click 125,,,,,,,,Available,
Honda Click 125 3989,Honda Click 125,,,,,,,,Available,
Honda Click 125 3988,Honda Click 125,,,,,,,,Available,
Honda Click 125 3982,Honda Click 125,,,,,,,,Available,
Honda Click 125 2301,Honda Click 125,,,,,,,,Available,
Honda Click 125 4179,Honda Click 125,,,Lax,9761355494,15/09/2026,25/09/2026,15/09/2026,Available,
Honda Click 125 2357,Honda Click 125,,,,,,,,Available,
Honda Click 125 2354,Honda Click 125,,,,,,,,Available,
Honda Click 125 2455,Honda Click 125,,,,,,,,Available,
Honda Click 125 2513,Honda Click 125,,,,,,,,Available,
Honda Click 125 2457,Honda Click 125,,,,,,,,Available,
Honda Click 125 2456,Honda Click 125,,,,,,,,Available,
Honda Click 125 3285,Honda Click 125,,,,,,,,Available,
Honda Click 125 506,Honda Click 125,,,,,,,,Available,
Honda Click 125 507,Honda Click 125,,,,,,,,Available,
Honda Click 125 3351,Honda Click 125,,,,,,,,Available,
Honda Click 125 3352,Honda Click 125,,,,,,,,Available,
Honda Click 125 3353,Honda Click 125,,,,,,,,Available,
Honda Click 125 3354,Honda Click 125,,,,,,,,Available,
Honda Click 125 390,Honda Click 125,,,,,,,,Available,
Honda Click 125 393,Honda Click 125,,,,,,,,Available,
Honda Click 125 394,Honda Click 125,,,,,,,,Available,
Honda Click 125 396,Honda Click 125,,,,,,,,Available,
Honda Click 125 1061,Honda Click 125,,,,,27/08/2026,,27/08/2026,Available,
Honda Click 125 1062,Honda Click 125,,,,,,,,Available,
Honda Click 125 1064,Honda Click 125,,,,,,,,Available,
Honda Click 125 1065,Honda Click 125,,,,,,,,Available,
Honda Click 160 7232,Honda Click 160,,,,,,,,Available,
Honda Click 160 6319,Honda Click 160,,,,,,,,Available,
Honda Click 160 744,Honda Click 160,,,,,,,,Available,
Honda Click 160 5456,Honda Click 160,,,,,,,,Available,
Honda Click 160 4730,Honda Click 160,,,,,,,,Available,
Honda Scoopy 110cc 5600,Honda Scoopy 110cc,,,,,,,,Available,
Honda Scoopy 110cc 957,Honda Scoopy 110cc,,,,,,,,Available,
Honda Scoopy 110cc 958,Honda Scoopy 110cc,,,,,,,,Available,
Honda Scoopy 110cc 3525,Honda Scoopy 110cc,,,,,,,,Available,
Honda Scoopy 110cc 3527,Honda Scoopy 110cc,,,,,28/08/2026,,,Rented,
Yamaha Filano 125 9567,Yamaha Filano 125,,,,,,,,Available,
Yamaha Filano 125 8719,Yamaha Filano 125,,,,,,,,Available,
Yamaha Aerox 155 7829,Yamaha Aerox 155,,,,,,,,Available,
Yamaha Aerox 155 8639,Yamaha Aerox 155,,,Raj,2478651245,15/09/2026,18/09/2026,15/09/2026,Available,
Yamaha Aerox 155 9780,Yamaha Aerox 155,,,,,,,,Available,
Honda PCX 150 8721,Honda PCX 150,,,,,,,,Available,
Honda PCX 160 7535,Honda PCX 160,,,,,,,,Available,
Honda PCX 845,Honda PCX (cc unknown),,,,,,,,Available,
Yamaha Xmax 300 Grey 9828,Yamaha Xmax 300,Grey,,,,,,,Available,
Yamaha Xmax 300 6651,Yamaha Xmax 300,,,,,,,,Available,
Yamaha Xmax 300 8875,Yamaha Xmax 300,,,,,,,,Available,
